url,label,score,prediction,has_query,has_security,has_payment,has_redirect,has_encoding,path_depth,query_params,registrable_domain,hostname,tld,URLLength,DomainLength,IsDomainIP,NoOfSubDomain,IsHTTPS,HasSuspiciousWords,SpecialCharRatio,DigitRatio,HasAtSymbol,SuspiciousTLD,BrandImpersonationScore,HyphenCount,PathQueryLength,KnownBrandDomain,DomainVowelRatio
https://wsj.com/en-us/library,0,0.5168490632345508,1,0,0,0,0,0,2,0,wsj.com,wsj.com,com,29.0,7.0,0.0,0.0,1.0,0.0,0.2413793103448276,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0
https://cdc.gov/products/electronics,0,0.5079843502205411,1,0,0,0,0,0,2,0,cdc.gov,cdc.gov,gov,36.0,7.0,0.0,0.0,1.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0
https://www.techcrunch.com/library/3.12,0,0.4835353540813074,1,0,0,0,0,0,2,0,techcrunch.com,www.techcrunch.com,com,39.0,18.0,0.0,1.0,1.0,0.0,0.20512820512820512,0.07692307692307693,0.0,0.0,0.0,0.0,13.0,0.0,0.2
https://hsbc.com/library/3.12,0,0.6217590246401262,1,0,0,0,0,0,2,0,hsbc.com,hsbc.com,com,29.0,8.0,0.0,0.0,1.0,0.0,0.2413793103448276,0.10344827586206896,0.0,0.0,0.0,0.0,13.0,0.0,0.0
http://trello.com/wiki/Main_Page,0,0.9500652129135169,1,0,0,0,0,0,2,0,trello.com,trello.com,com,32.0,10.0,0.0,0.0,0.0,0.0,0.21875,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.3333333333333333
https://salesforce.com/watch?v=dQw4w9WgXcQ,0,0.5177391486085228,1,1,0,0,0,0,1,1,salesforce.com,salesforce.com,com,42.0,14.0,0.0,0.0,1.0,0.0,0.16666666666666666,0.047619047619047616,0.0,0.0,0.0,0.0,19.0,0.0,0.4
https://x.com/download,0,0.6332742749984223,1,0,0,0,0,0,1,0,x.com,x.com,com,22.0,5.0,0.0,0.0,1.0,0.0,0.22727272727272727,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0
https://www.epicgames.com/releases/tag/v2.3.1,0,0.46092874838877407,1,0,0,0,0,0,3,0,epicgames.com,www.epicgames.com,com,45.0,17.0,0.0,1.0,1.0,0.0,0.2222222222222222,0.06666666666666667,0.0,0.0,0.0,0.0,20.0,0.0,0.4444444444444444
https://pypi.org/issues/1042,0,0.6480177472163405,1,0,0,0,0,0,2,0,pypi.org,pypi.org,org,28.0,8.0,0.0,0.0,1.0,0.0,0.21428571428571427,0.14285714285714285,0.0,0.0,0.0,0.0,12.0,0.0,0.25
http://salesforce.com/wiki,0,0.9593901723269719,1,0,0,0,0,0,1,0,salesforce.com,salesforce.com,com,26.0,14.0,0.0,0.0,0.0,0.0,0.19230769230769232,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.4
http://npmjs.com/order/confirmation/778213,0,0.9456508441359315,1,0,0,1,0,0,3,0,npmjs.com,npmjs.com,com,42.0,9.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.14285714285714285,0.0,0.0,0.0,0.0,26.0,0.0,0.0
